Local_TimesTamp,Site,diff
7/23/2022,Goodale,0
7/24/2022,Goodale,1.5
7/25/2022,Goodale,4.5
7/26/2022,Goodale,1
7/23/2022,Petrofika,0
7/24/2022,Petrofika,6.5
7/25/2022,Petrofika,8.1
7/26/2022,Petrofika,0.6
